well_id,source,n_grid,washout_flagged,no_bitsize,washout_interval_m,min_interval_pass,n_curves_meeting,drop_reason,dedup_hash,present,missing_GR,missing_RHOB,missing_NPHI,missing_DTC,missing_PEF,missing_SP,missing_CALI,missing_RDEP,missing_RMED,missing_RSHA,missing_DTS,hampel_GR,hampel_RHOB,hampel_NPHI,hampel_PEF,hampel_CALI,hampel_RSHA,suspect_m_RHOB,suspect_m_NPHI,suspect_m_PEF,hampel_DTC,hampel_DTS,hampel_RDEP,hampel_SP,hampel_RMED
LEW-07,nlog,10837,False,True,0.0,True,3,,0d7128c7b6868c92,"RHOB,SP,RDEP",1.0,0.8166,1.0,1.0,1.0,0.4568,1.0,0.4568,1.0,1.0,1.0,,0.01711,,,,,0.0,0.0,0.0,,,0.02837,0.01767,
LEW-10,nlog,13406,False,False,0.0,True,4,,2640ed6f7b4f04df,"GR,RHOB,SP,RDEP",0.0029,0.8478,1.0,1.0,1.0,0.4258,1.0,0.4258,1.0,1.0,1.0,0.02738,0.02352,,,,,0.0,0.0,0.0,,,0.02728,0.02494,
LEW-101,nlog,10157,False,True,0.0,True,4,,7937305140177239,"GR,RHOB,NPHI,DTC",0.0,0.9043,0.9055,0.2005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02688,0.03498,0.03021,,,,0.0,0.0,0.0,0.03596,,,,
LEW-102-S1,nlog,10761,False,True,0.0,True,9,,9a2740e207d81e1d,"GR,RHOB,NPHI,DTC,SP,CALI,RDEP,RMED,RSHA",0.0,0.4583,0.7212,0.2053,1.0,0.9146,0.6384,0.9139,0.9139,0.9139,1.0,0.03271,0.03242,0.03333,,0.03418,0.03132,0.0,0.0,0.0,0.03777,,0.03348,0.05114,0.0378
L16-LOGGER-08,nlog,18626,True,False,35.66,True,8,,bc590fb571bb6121,"GR,RHOB,NPHI,DTC,PEF,CALI,RDEP,RMED",0.8902,0.8897,0.8897,0.899,0.8897,1.0,0.8903,0.7282,0.7282,1.0,1.0,0.04254,0.0258,0.01946,0.0224,0.04207,,35.7,35.7,35.7,0.02444,,0.0399,,0.04385
L16-LOGGER-09,nlog,6293,True,False,72.69,True,6,,59162050fd54f5ec,"GR,RHOB,NPHI,DTC,CALI,RDEP",0.2407,0.7338,0.7322,0.6542,1.0,1.0,0.7378,0.2549,1.0,1.0,1.0,0.04688,0.0394,0.03501,,0.03818,,72.7,72.7,0.0,0.04274,,0.03092,,
L16-LOGGER-10-S1,nlog,14429,False,True,0.0,False,2,only 2 curves >= 100 m (need 3),7c5ef939835e743e,"GR,RDEP",0.6206,1.0,1.0,1.0,1.0,1.0,1.0,0.6237,1.0,1.0,1.0,0.0347,,,,,,0.0,0.0,0.0,,,0.0709,,
L16-LOGGER-10-S2,nlog,5595,False,True,0.0,False,2,only 2 curves >= 100 m (need 3),b352fe21686d5444,"GR,RDEP",0.0032,1.0,1.0,1.0,1.0,1.0,1.0,0.0972,1.0,1.0,1.0,0.03156,,,,,,0.0,0.0,0.0,,,0.08672,,
L16-LOGGER-10-S5,nlog,2467,False,True,0.0,True,3,,e85d947d7cef2388,"GR,DTC,RDEP",0.0288,1.0,1.0,0.1135,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.03464,,,,,,0.0,0.0,0.0,0.07773,,0.08918,,
L17-02,nlog,21326,False,True,0.0,True,4,,6389efd59ced4186,"GR,RHOB,NPHI,DTC",0.0008,0.1234,0.3585,0.1353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02618,0.02776,0.02975,,,,0.0,0.0,0.0,0.025,,,,
LAD-01,nlog,12737,False,True,0.0,False,2,only 2 curves >= 100 m (need 3),fa0c39c97cb87d55,"GR,DTC",0.0001,1.0,1.0,0.0161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03824,,,,,,0.0,0.0,0.0,0.04485,,,,
LED-03,nlog,4349,False,True,0.0,False,2,only 2 curves >= 100 m (need 3),ec37691cbd76cd9b,"GR,SP",0.0,1.0,1.0,1.0,1.0,0.0041,1.0,1.0,1.0,1.0,1.0,0.03012,,,,,,0.0,0.0,0.0,,,,0.04225,
LEK-01,nlog,6995,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),082d4ae33ae89003,SP,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,0.0,0.0,,,,0.02945,
LEW-02,nlog,10578,False,True,0.0,False,2,only 2 curves >= 100 m (need 3),f46fbdd4b0766405,"GR,RDEP",0.9051,1.0,1.0,1.0,1.0,1.0,1.0,0.0024,1.0,1.0,1.0,0.0259,,,,,,0.0,0.0,0.0,,,0.02758,,
