well_id,source,n_grid,washout_flagged,no_bitsize,washout_interval_m,min_interval_pass,n_curves_meeting,drop_reason,dedup_hash,present,missing_GR,missing_RHOB,missing_NPHI,missing_DTC,missing_PEF,missing_SP,missing_CALI,missing_RDEP,missing_RMED,missing_RSHA,missing_DTS,hampel_GR,suspect_m_RHOB,suspect_m_NPHI,suspect_m_PEF,hampel_RHOB,hampel_NPHI,hampel_PEF,hampel_CALI,hampel_SP,hampel_RDEP,hampel_RMED,hampel_DTC,hampel_RSHA,hampel_DTS
1055385528,kgs,3264,False,True,0.0,True,7,,a172f0c9dc775bf9,"GR,RHOB,NPHI,SP,CALI,RDEP,RMED",0.0061,0.0,0.0012,1.0,1.0,0.0983,0.0003,0.0031,0.0028,1.0,1.0,0.02713,0.0,0.0,0.0,0.02053,0.03497,,0.00368,0.02209,0.02489,0.01229,,,
1055385529,kgs,1774,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),3567c5d9c8f6fe01,GR,0.0073,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04202,0.0,0.0,0.0,,,,,,,,,,
1055385530,kgs,3544,False,True,0.0,False,0,only 0 curves >= 100 m (need 3),a7f65467c97e47cc,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,,,,,,,,,,
1055385531,kgs,2107,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),1f97d521bef9b733,"GR,NPHI",0.0071,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03394,0.0,0.0,0.0,,0.0,,,,,,,,
1055385532,kgs,3538,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),cbedb08082f640cb,"GR,NPHI",0.009,1.0,0.9997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03651,0.0,0.0,0.0,,0.0,,,,,,,,
1055385533,kgs,1922,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),0a0bdf4d67bb13b7,"GR,NPHI",0.0083,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0425,0.0,0.0,0.0,,0.0,,,,,,,,
1055385534,kgs,1898,False,True,0.0,True,7,,2c9ff574b474a342,"GR,RHOB,NPHI,SP,CALI,RDEP,RMED",0.0095,0.0,0.0,1.0,1.0,0.0553,0.0011,0.0042,0.0026,1.0,1.0,0.03936,0.0,0.0,0.0,0.03056,0.04373,,0.0,0.04294,0.02804,0.01162,,,
1055385535,kgs,5217,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),636c56406f119e76,"GR,NPHI",0.0029,1.0,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03287,0.0,0.0,0.0,,0.0,,,,,,,,
1055385536,kgs,1903,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),ab0e22b7cfc116f0,"GR,NPHI",0.0089,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03128,0.0,0.0,0.0,,0.0,,,,,,,,
1055385537,kgs,1800,False,True,0.0,True,7,,8d4eb5adf9a32756,"GR,RHOB,NPHI,SP,CALI,RDEP,RMED",0.0083,0.0,0.0011,1.0,1.0,0.0172,0.0006,0.0067,0.005,1.0,1.0,0.03529,0.0,0.0,0.0,0.02833,0.04116,,0.00056,0.03957,0.03747,0.01898,,,
1055385538,kgs,1843,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),1fadbad7258adcc0,"GR,NPHI",0.0076,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04593,0.0,0.0,0.0,,0.0,,,,,,,,
1055385539,kgs,1927,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),550b1a6f9a385a9a,"GR,NPHI",0.0088,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04031,0.0,0.0,0.0,,0.0,,,,,,,,
1055385540,kgs,1946,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),7a06161c5711140d,"GR,NPHI",0.0087,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04562,0.0,0.0,0.0,,0.0,,,,,,,,
1055385541,kgs,1846,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),3bb0a4fa115bf77b,"GR,NPHI",0.0076,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03712,0.0,0.0,0.0,,0.0,,,,,,,,
1055385542,kgs,1869,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),b023a5dcfed935e3,"GR,NPHI",0.0075,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03396,0.0,0.0,0.0,,0.0,,,,,,,,
1055385543,kgs,1821,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),69c1e01d0a8372ef,"GR,NPHI",0.0077,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04593,0.0,0.0,0.0,,0.0,,,,,,,,
1055385544,kgs,2687,False,True,0.0,True,5,,74875051beb03837,"GR,RHOB,CALI,RDEP,RMED",0.0071,0.0,1.0,1.0,1.0,1.0,0.0004,0.0033,0.0011,1.0,1.0,0.03148,0.0,0.0,0.0,0.01749,,,0.00819,,0.0224,0.02161,,,
1055385545,kgs,1902,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),8475a3ed4bef1bfc,"GR,NPHI",0.0074,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0482,0.0,0.0,0.0,,0.0,,,,,,,,
1055385546,kgs,1798,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),4ca493092e6db423,GR,0.0072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03978,0.0,0.0,0.0,,,,,,,,,,
